# Case 1 per-node detection
case 1 | class     | Invoice                                       | A=Y (label) | B=Y (label)
case 1 | dimension | Service Type                                  | A=Y (label) | B=Y (label-tokens)
case 1 | dimension | Billing Model                                 | A=Y (label) | B=Y (label-tokens)
case 1 | dimension | Invoice Direction                             | A=Y (label) | B=Y (label-tokens)
case 1 | dimension | Document Language                             | A=Y (label) | B=Y (label-tokens)
case 1 | property  | Rebate / Discount                             | A=Y (example) | B=Y (label)
case 1 | class     | Signature and Responsibility Block            | A=Y (label) | B=Y (distinctive-token:signature)

# Case 2 per-node detection
case 2 | class     | JobDescription                                | A=Y (synonym:role) | B=Y (synonym:role)
case 2 | dimension | About the Role                                | A=Y (label) | B=Y (synonym:what you)
case 2 | dimension | Organization Context                          | A=Y (synonym:about the company) | B=Y (synonym:company)
case 2 | dimension | Candidate Profile                             | A=Y (synonym:who we) | B=Y (distinctive-token:candidate)
case 2 | dimension | Requirements                                  | A=Y (label) | B=n ()
case 2 | dimension | Compensation & Benefits                       | A=Y (label-tokens) | B=Y (synonym:salary)
case 2 | property  | role_family                                   | A=Y (synonym:engineer) | B=Y (synonym:engineer)
case 2 | property  | seniority_level                               | A=Y (distinctive-token:level) | B=Y (distinctive-token:level)
case 2 | dimension | role_archetype                                | A=Y (synonym:individual contributor) | B=Y (synonym:manager)
case 2 | property  | specialization_focus                          | A=Y (synonym:modeling) | B=n ()
case 2 | property  | industry                                      | A=Y (synonym:industries) | B=n ()
case 2 | property  | company_stage                                 | A=Y (distinctive-token:company) | B=Y (label-tokens)
case 2 | property  | company_size                                  | A=Y (distinctive-token:company) | B=Y (distinctive-token:company)
case 2 | property  | work_arrangement                              | A=Y (label) | B=n ()
case 2 | property  | employer_brand_voice                          | A=Y (synonym:culture) | B=n ()
case 2 | property  | experience_band                               | A=Y (distinctive-token:experience) | B=Y (distinctive-token:experience)
case 2 | property  | education_requirement                         | A=Y (distinctive-token:requirement) | B=n ()
case 2 | property  | career_trajectory                             | A=Y (distinctive-token:career) | B=n ()
case 2 | property  | certification_profile                         | A=Y (distinctive-token:certification) | B=n ()
case 2 | property  | candidate_market                              | A=Y (synonym:talent pool) | B=Y (distinctive-token:candidate)
case 2 | property  | skill_domains                                 | A=Y (label-tokens) | B=n ()
case 2 | property  | compensation_philosophy                       | A=Y (distinctive-token:compensation) | B=n ()
case 2 | property  | benefits_emphasis                             | A=Y (distinctive-token:benefits) | B=n ()

# Case 3 per-node detection
case 3 | class     | Clinical Visit Record                         | A=Y (label) | B=Y (distinctive-token:visit)
case 3 | class     | Medical Practice                              | A=Y (distinctive-token:medical) | B=Y (synonym:clinic)
case 3 | property  | Practice Name                                 | A=Y (synonym:clinic) | B=Y (synonym:clinic)
case 3 | property  | Practice Location                             | A=Y (distinctive-token:location) | B=Y (synonym:address)
case 3 | class     | Provider                                      | A=Y (label) | B=Y (synonym:physician)
case 3 | property  | Provider Credentials                          | A=Y (distinctive-token:provider) | B=n ()
case 3 | class     | Patient                                       | A=Y (label) | B=Y (label)
case 3 | property  | Patient Demographics                          | A=Y (distinctive-token:patient) | B=Y (distinctive-token:patient)
case 3 | class     | Visit Metadata                                | A=Y (distinctive-token:visit) | B=Y (label-tokens)
case 3 | dimension | Visit Type                                    | A=Y (label) | B=Y (label-tokens)
case 3 | class     | Claim Information                             | A=Y (label) | B=n ()
case 3 | dimension | Claim Type                                    | A=Y (label-tokens) | B=n ()
case 3 | property  | Causal Relationship                           | A=Y (label) | B=n ()
case 3 | class     | Work Status                                   | A=Y (label) | B=n ()
case 3 | property  | Temporary Impairment Percentage               | A=Y (label) | B=n ()
case 3 | class     | Chief Complaint                               | A=Y (label) | B=Y (synonym:pain)
case 3 | dimension | Body Region                                   | A=Y (label) | B=n ()
case 3 | class     | History of Present Illness (HPI)              | A=Y (label) | B=Y (distinctive-token:history)
case 3 | property  | Pain Rating                                   | A=Y (label) | B=Y (synonym:pain)
case 3 | property  | Prior Treatment                               | A=Y (label) | B=Y (distinctive-token:prior)
case 3 | class     | Allergies                                     | A=Y (label) | B=Y (label)
case 3 | class     | Medications                                   | A=Y (label) | B=Y (label)
case 3 | property  | Medication Details                            | A=Y (distinctive-token:medication) | B=Y (distinctive-token:medication)
case 3 | class     | Past Medical History                          | A=Y (label) | B=Y (distinctive-token:history)
case 3 | class     | Surgical History                              | A=Y (label) | B=Y (distinctive-token:history)
case 3 | class     | Social History                                | A=Y (label) | B=Y (distinctive-token:history)
case 3 | class     | Vital Signs                                   | A=Y (label) | B=Y (synonym:blood pressure)
case 3 | class     | Review of Systems (ROS)                       | A=Y (label) | B=Y (distinctive-token:review)
case 3 | class     | Physical Examination                          | A=Y (label) | B=Y (label)
case 3 | property  | Range of Motion                               | A=Y (label) | B=Y (synonym:rom)
case 3 | property  | Muscle Strength                               | A=Y (label) | B=n ()
case 3 | property  | Special Orthopedic Tests                      | A=Y (label) | B=n ()
case 3 | property  | Sensation Testing                             | A=Y (label) | B=n ()
case 3 | property  | Muscle Stretch Reflexes                       | A=Y (label) | B=n ()
case 3 | class     | Diagnostic Tests                              | A=Y (label) | B=Y (synonym:lab)
case 3 | property  | Imaging Findings                              | A=Y (label) | B=n ()
case 3 | class     | Assessment / Diagnoses                        | A=Y (label) | B=Y (distinctive-token:assessment)
case 3 | property  | ICD-10 Diagnosis Code                         | A=Y (label-tokens) | B=n ()
case 3 | class     | Recommendations / Treatment Plan              | A=Y (label) | B=Y (synonym:plan)
case 3 | property  | Treatment Justification                       | A=Y (label) | B=n ()
case 3 | property  | Functional Goals                              | A=Y (distinctive-token:functional) | B=n ()
case 3 | property  | ADL Impact                                    | A=Y (label) | B=n ()
case 3 | class     | Signature Block                               | A=n () | B=Y (label-token)
case 3 | class     | Radiology Report                              | A=Y (distinctive-token:report) | B=Y (distinctive-token:report)
case 3 | property  | Radiologist                                   | A=n () | B=n ()

# Case 4 per-node detection
case 4 | class     | Agreement / Contract                          | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | property  | Agreement Identifier                          | A=Y (label) | B=Y (distinctive-token:agreement)
case 4 | dimension | Agreement Type                                | A=Y (label) | B=Y (label-tokens)
case 4 | property  | Effective Date                                | A=Y (label) | B=Y (synonym:as of)
case 4 | class     | Service Provider / Executor / Company         | A=Y (label-tokens) | B=Y (distinctive-token:service)
case 4 | class     | Client / Consultant / Contractor              | A=Y (label-tokens) | B=Y (distinctive-token:client)
case 4 | property  | Party Legal Name                              | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | property  | Party Address                                 | A=Y (label-tokens) | B=Y (distinctive-token:party)
case 4 | property  | Registration / Tax ID Number                  | A=Y (label-tokens) | B=Y (synonym:ein)
case 4 | property  | Party Contact Information                     | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | class     | Authorized Representative / Signatory         | A=Y (distinctive-token:authorized) | B=Y (distinctive-token:representative)
case 4 | class     | Services Description                          | A=Y (label) | B=Y (distinctive-token:services)
case 4 | dimension | Service Domain / Type                         | A=Y (label) | B=Y (distinctive-token:service)
case 4 | class     | Deliverable / Milestone                       | A=Y (label) | B=Y (label-tokens)
case 4 | property  | Deliverable Due Date                          | A=Y (label) | B=Y (label-tokens)
case 4 | property  | Deliverable Cost                              | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | class     | Contract Term / Duration                      | A=Y (label) | B=Y (distinctive-token:contract)
case 4 | property  | Start Date                                    | A=Y (label) | B=Y (synonym:commence)
case 4 | property  | End Date                                      | A=Y (label) | B=Y (label-tokens)
case 4 | property  | Auto-Renewal Clause                           | A=Y (label-tokens) | B=n ()
case 4 | dimension | Fee / Compensation Structure                  | A=Y (label) | B=Y (distinctive-token:compensation)
case 4 | property  | Hourly Rate                                   | A=Y (label) | B=n ()
case 4 | property  | Total / Fixed Fee                             | A=Y (label) | B=Y (label-tokens)
case 4 | property  | Payment Schedule / Terms                      | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | class     | Intellectual Property Ownership               | A=Y (label) | B=Y (distinctive-token:intellectual)
case 4 | class     | Confidentiality / Non-Disclosure              | A=Y (label) | B=Y (label-tokens)
case 4 | class     | Non-Solicitation Clause                       | A=Y (label-tokens) | B=n ()
case 4 | class     | Representations and Warranties                | A=Y (label) | B=Y (label-tokens)
case 4 | class     | Termination Provisions                        | A=Y (label) | B=Y (distinctive-token:termination)
case 4 | property  | Governing Law / Jurisdiction                  | A=Y (label-tokens) | B=Y (label-tokens)
case 4 | class     | Dispute Resolution Mechanism                  | A=Y (distinctive-token:dispute) | B=Y (distinctive-token:dispute)
case 4 | property  | Exclusivity Clause                            | A=Y (label-tokens) | B=n ()
case 4 | property  | Independent Contractor Status                 | A=Y (label) | B=Y (distinctive-token:independent)
case 4 | property  | Amendments Provision                          | A=Y (label-tokens) | B=Y (distinctive-token:amendments)
case 4 | property  | Severability Clause                           | A=Y (label-tokens) | B=n ()
case 4 | property  | Entire Agreement / Integration Clause         | A=Y (label-tokens) | B=Y (distinctive-token:entire)
case 4 | class     | Statement of Work (SOW) / Exhibit A           | A=Y (label-tokens) | B=Y (distinctive-token:statement)
case 4 | property  | SOW Number / Reference                        | A=Y (label-tokens) | B=n ()
case 4 | class     | Context and Background Section                | A=Y (label-tokens) | B=Y (distinctive-token:section)
case 4 | class     | Assumptions, Risks and Constraints            | A=Y (label-tokens) | B=n ()
case 4 | class     | Acceptance of Deliverables                    | A=Y (label) | B=Y (distinctive-token:deliverables)
case 4 | class     | Communication Plan                            | A=Y (label) | B=n ()
case 4 | property  | Weekly Hours Cap                              | A=Y (label) | B=n ()
case 4 | dimension | Currency                                      | A=Y (label) | B=Y (label)
case 4 | class     | Indemnification Clause                        | A=Y (label-tokens) | B=n ()
case 4 | property  | Assignability                                 | A=Y (label) | B=Y (synonym:assign)

