"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Llms4ol 2025 overview: The 2nd large language models for ontology learning challenge","https://scispace.com/paper/llms4ol-2025-overview-the-2nd-large-language-models-for-obpd0dlo5kx8","2025","Proceedings Article","Open conference proceedings","Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer
Hamed Babaei Giglou
Jennifer D’Souza
Nandana Mihindukulasooriya
Sören Auer","10.52825/ocp.v6i.2913","https://www.tib-op.org/ojs/index.php/ocp/article/download/2913/2922","… This leads to key ontology learning (OL) activities, including corpus preparations, … They found that prompt decoupling can improve generalization and mitigate overfitting to specific …","We present the results of the 2nd LLMs4OL 2025 Challenge, a shared task designed to evaluate the effectiveness of large language models (LLMs) for ontology learning. The challenge attracted a diverse set of participants who leveraged a broad spectrum of models, including general-purpose LLMs, domain-specific models, and embedding-based systems. Submissions covered multiple subtasks such as Text2Onto, term typing, taxonomy discovery, and non-taxonomic relationship extractions. The results highlight that hybrid pipelines integrating commercial LLMs with domain-tuned embeddings and fine-tuning approaches achieved the strongest overall performance, while specialized domain models improved results in biomedical and technical datasets. Key insights include the importance of prompt engineering, retrieval-augmented generation (RAG), and ensemble learning. This paper presents the second benchmark of LLM-driven ontology learning, serving as an overview of the participants’ contributions to the challenge. Building on this, this overview presents findings, highlights emerging strategies, and offers practical insights for researchers and practitioners seeking to align unstructured language with structured knowledge. "
"How to classify domain entities into top-level ontology concepts using large language models","https://scispace.com/paper/how-to-classify-domain-entities-into-top-level-ontology-30bm6jh5re","2024","Journal Article","Applied Ontology","Alcides Lopes
Joel Luís Carbonera
Fabrício Henrique Rodrigues
Luan Fonseca Garcia
Mara Abel","10.3233/ao-240032","https://ceur-ws.org/Vol-3882/llm-2.pdf","… present ontology learning approaches, focusing on automating or semi-automating methods that leverage language models … of classification pipeline generalization on the input data. …","Classifying domain entities into their respective top-level ontology concepts is a complex problem that typically demands manual analysis and deep expertise in the domain of interest and ontology engineering. Using an efficient approach to classify domain entities enhances data integration, interoperability, and the semantic clarity of ontologies, which are crucial for structured knowledge representation and modeling. Based on this, our main motivation is to help an ontology engineer with an automated approach to classify domain entities into top-level ontology concepts using informal definitions of these domain entities during the ontology development process. In this context, we hypothesize that the informal definitions encapsulate semantic information crucial for associating domain entities with specific top-level ontology concepts. Our approach leverages state-of-the-art language models to explore our hypothesis across multiple languages and informal definitions from different knowledge resources. In order to evaluate our proposal, we extracted multi-label datasets from the alignment of the OntoWordNet ontology and the BabelNet semantic network, covering the entire structure of the Dolce-Lite-Plus top-level ontology from most generic to most specific concepts. These datasets contain several different textual representation approaches of domain entities, including terms, example sentences, and informal definitions. Our experiments conducted 3 study cases, investigating the effectiveness of our proposal across different textual representation approaches, languages, and knowledge resources. We demonstrate that the best results are achieved using a classification pipeline with a K-Nearest Neighbor (KNN) method to classify the embedding representation of informal definitions from the Mistral large language model. The findings underscore the potential of informal definitions in reflecting top-level ontology concepts and point towards developing automated tools that could significantly aid ontology engineers during the ontology development process. "
"On the Pertinence of LLMs for Ontology Learning.","https://scispace.com/paper/7PBHLZmFC8gJ","","","","M Schaeffer
M Sesboüé
L Charbonnier","","https://ceur-ws.org/Vol-3874/paper1.pdf","… large language models for ontology learning, we discuss component combinations, LLM size… This section introduces our corpus construction process before describing each OL pipeline …",""
"Leveraging Large Language Models for Efficient Ontology Development: Extended Version","https://scispace.com/paper/msAtkV4os_0J","","","","MA Cappelli
GDM Serugendo","","https://access.archive-ouverte.unige.ch/access/metadata/b108ea53-1d67-4b76-9202-4e8594767024/download","… for ontology construction supported by large language models (… across iterative interactions with the LLM. Human experts play a … This methodology is generalizable to other domains, if …",""
"Fine-tuning large language models for ontology engineering: A comparative analysis of gpt-4 and mistral","https://scispace.com/paper/fine-tuning-large-language-models-for-ontology-engineering-a-p0p26sh3464h","2025","Journal Article","Applied Sciences","Dimitrios Doumanas
Andreas Soularidis
Dimitris Spiliotopoulos
Costas Vassilakis
Konstantinos Kotis","10.3390/app15042146","","… While this study focuses on fine-tuning large language models (LLMs) for ontology engineering, it builds upon the foundation of existing research in automated ontology construction, …",""
"Integrating Semantic Web Technologies and Large Language Models: Ontologies and LLMs for Medication and Anaphylaxis Detection","https://scispace.com/paper/integrating-semantic-web-technologies-and-large-language-eizqq3c05wt4","2025","Journal Article","","Matheus Machado","10.11606/d.55.2025.tde-02092025-143642","https://www.teses.usp.br/teses/disponiveis/55/55134/tde-02092025-143642/publico/MatheusMatosMachado_ME_revisada.pdf","… 1.0 Pro foram aplicados diretamente a um corpus de 969 narrativas clínicas em português, … , these models often exhibit improved generalization and new capabilities, sometimes called …",""
"Ontology-driven mixture-of-domain documentation: A backbone approach enabling question answering for additive construction","https://scispace.com/paper/ontology-driven-mixture-of-domain-documentation-a-backbone-74zlznqtytcy","2025","Journal Article","Buildings","Chao Li
Frank Petzold","10.3390/buildings15010133","","… This knowledge graph will interface with advanced large language models (LLMs), … Third, techniques for automatic ontology learning will be explored at both the terminology and …","Advanced construction techniques, such as additive manufacturing (AM) and modular construction, offer promising solutions to address labor shortages, reduce CO2 emissions, and enhance material efficiency. Despite their potential, the adoption of these innovative methods is hindered by the construction industry’s fragmented expertise. Building Information Modeling (BIM) is frequently suggested to integrate this diverse knowledge, but existing BIM-based approaches lack a robust framework for systematically documenting and retrieving the cross-domain knowledge essential for construction projects. To bridge this gap, this paper presents an ontology-driven methodology for documenting and utilizing expert knowledge, with a focus on AM in construction. Based on a well-founded ontological framework, a set of modular ontologies is formalized for individual domains. Additionally, a prototypical documentation tool is developed to elevate recorded information and BIM models as a knowledge graph. This knowledge graph will interface with advanced large language models (LLMs), enabling effective question answering and knowledge retrieval. "
"Neon-gpt: a large language model-powered pipeline for ontology learning","https://scispace.com/paper/neon-gpt-a-large-language-model-powered-pipeline-for-jbte08qmnlqq","2025","Journal Article","Lecture Notes in Computer Science","Nadeen Fathallah
Arunav Das
Stefano De Giorgis
Andrea Poltronieri
Peter Haase
Liubov Kovriguina","10.1007/978-3-031-78952-6_4","https://www.researchgate.net/profile/Nadeen-Fathallah/publication/382866036_NeOn-GPT_A_Large_Language_Model-Powered_Pipeline_for_Ontology_Learning/links/66b0078351aa0775f269c8cf/NeOn-GPT-A-Large-Language-Model-Powered-Pipeline-for-Ontology-Learning.pdf","… framework with Large Language Models (LLMs) for … is a prompt pipeline tailored for domain-agnostic modeling, exemplified … [2] uses corpus analysis for ontology construction, …",""
"From Experts to LLMs: Evaluating the Quality of Automatically Generated Ontologies","https://scispace.com/paper/_ceYqlvNE8IJ","","","","M Llugiqi
FJ Ekaputra
M Sabou","","https://ceur-ws.org/Vol-3977/elmke-1.pdf","… However, ontology construction methods rely heavily on … , generalization, and data efficiency. For instance, the Symbol-… based on its probability of occurrence in a corpus as −log𝑝(𝐶), …",""
"Labkag at llms4ol 2025 tasks a and c: Context-rich prompting for ontology construction","https://scispace.com/paper/labkag-at-llms4ol-2025-tasks-a-and-c-context-rich-prompting-ohzor206hxmh","2025","Proceedings Article","Open conference proceedings","Xinyi Zhao
Kevin Drake
Yuya Sasaki
Hidetaka Hando
Xinyi Zhao
Kevin Drake
Yuya Sasaki
Hidetaka Hando","10.52825/ocp.v6i.2891","https://www.tib-op.org/ojs/index.php/ocp/article/download/2891/2931","… We first provide the LLM with the full document and a list of extracted terms. The model … These results highlight prompt-driven LLM application as a lightweight, generalizable, and …","This paper presents LABKAG's submission to the LLMs4OL 2025 Challenge, focusing on ontology construction from domain-specific text using large language models (LLMs). Our core methodology prioritizes prompt design over fine-tuning or external knowledge, demonstrating its effectiveness in generating structured knowledge. For Task A (Text2Onto: extracting ontological terms and types), we utilized a locally deployed Qwen3-8B model, while for Task C (Taxonomy Discovery: identifying taxonomic hierarchies), we evaluated the performance of GPT-4o-mini and Gemini 2.5 Pro. Our experiments consistently show that incorporating in-domain examples and providing richer context within prompts significantly enhances performance. These results confirm that well-engineered prompts enable LLMs to effectively extract entities and their hierarchical relationships, offering a lightweight, adaptable, and generalizable approach to structured knowledge extraction. "
