"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Constructing Knowledge Graph from Cyber Threat Intelligence Using Large Language Model","https://scispace.com/paper/constructing-knowledge-graph-from-cyber-threat-intelligence-417bhdbmrf","2023","Proceedings Article","","Jiehui Liu
Jieyu Zhan","10.1109/bigdata59044.2023.10386611","","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ChatGPT to auto‑extract entities and relations, builds a CTI KG, compares to baselines; limited detail on prompting style and large‑scale processing.","Cyber Threat Intelligence (CTI) reports are valuable resources in various applications but manually extracting information from them is time-consuming. Existing approaches for automating extraction require specialized models trained on a substantial corpus. In this paper, we present an efficient methodology for constructing knowledge graphs from CTI by leveraging the Large Language Model (LLM), using ChatGPT for instance. Our approach automatically extracts attack-related entities and their relationships, organizing them within a CTI knowledge graph. We evaluate our approach on 13 CTIs, demonstrating better performance compared to AttacKG and REBEL while requiring less manual intervention and computational resources. This proves the feasibility and suitability of our method in low-resource scenarios, specifically within the domain of cyber threat intelligence."
"Prompt2Graph: Leveraging LLMs to Construct Knowledge Graphs from Technical Manuals","https://scispace.com/paper/prompt2graph-leveraging-llms-to-construct-knowledge-graphs-bdhzgu7val8b","2025","Journal Article","","Akhil Dudhipala
Rahul Karne
Pavan Kumar Pativada","10.1109/icimia67127.2025.11200177","","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LoRA‑fine‑tuned LLM to extract tools/parts and relations, builds KG via ontology alignment; detailed entity/relation methods, but relies on fine‑tuning, lacks prompting, scalability, baseline comparison; provides error analysis and expert review.","A structured knowledge graph (KG) can significantly support information retrieval and reasoning in technical contexts when extracting information from unstructured instructional documents. This paper presents a low-overhead process to map tool-part relational triples from textual instructions using a large language model (LLM) and a domain ontology. By using LoRA to fine-tune an LLM to identify domain-specific entities (Tools and Parts) and relations (for instance, ""uses,"" ""removes,"" and ""attached"") from maintenance and assembly manuals, the approach achieves respectable precision and recall against a test set with expert annotations. A thorough error analysis documents common extraction failures (missing triples, incorrect relation types, etc.) and discusses how ontology changes may resolve such issues. Extraction performance per relation and entity is then reported to highlight which relation and entity types are better represented by the model. An expert review of illustrative extracted triples indicates that the resulting KG will likely be accurately and usefully employed in practice. Finally, lessons learned and future improvements (rule-based post-processing, better alignment with procedural local steps, etc.) are explored to improve KG construction in this domain."
"AutoRD: An Automatic and End-to-End System for Rare Disease Knowledge Graph Construction Based on Ontologies-enhanced Large Language Models","https://scispace.com/paper/autord-an-automatic-and-end-to-end-system-for-rare-disease-3y7t2w4fuv","2024","Journal Article","arXiv.org","Lang Cao
Jimeng Sun
Adam Cross","10.48550/arxiv.2403.00953","","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ontologies‑enhanced LLMs to extract entities and relations, then builds a rare‑disease KG in an end‑to‑end pipeline; detailed entity/relation methods, but no zero‑shot prompting, scalability tests, or human‑in‑the‑loop error analysis; baseline comparison limited to base LLM.","Objectives: Our objective is to create an end-to-end system called AutoRD, which automates extracting information from clinical text about rare diseases. We have conducted various tests to evaluate the performance of AutoRD and highlighted its strengths and limitations in this paper. Materials and Methods: Our system, AutoRD, is a software pipeline involving data preprocessing, entity extraction, relation extraction, entity calibration, and knowledge graph construction. We implement this using large language models and medical knowledge graphs developed from open-source medical ontologies. We quantitatively evaluate our system on entity extraction, relation extraction, and the performance of knowledge graph construction. Results: AutoRD achieves an overall F1 score of 47.3%, a 14.4% improvement compared to the base LLM. In detail, AutoRD achieves an overall entity extraction F1 score of 56.1% (rare_disease: 83.5%, disease: 35.8%, symptom_and_sign: 46.1%, anaphor: 67.5%) and an overall relation extraction F1 score of 38.6% (produces: 34.7%, increases_risk_of: 12.4%, is_a: 37.4%, is_acronym: 44.1%, is_synonym: 16.3%, anaphora: 57.5%). Our qualitative experiment also demonstrates that the performance in constructing the knowledge graph is commendable. Discussion: AutoRD demonstrates the potential of LLM applications in rare disease detection. This improvement is attributed to several design, including the integration of ontologies-enhanced LLMs. Conclusion: AutoRD is an automated end-to-end system for extracting rare disease information from text to build knowledge graphs. It uses ontologies-enhanced LLMs for a robust medical knowledge base. The superior performance of AutoRD is validated by experimental evaluations, demonstrating the potential of LLMs in healthcare."
"An ontology-guided, language model-assisted approach for theme-specific information extraction","https://scispace.com/paper/DRgvHqjnwP0J","","","","J Xiao","","https://www.ideals.illinois.edu/items/136491/bitstreams/446077/data.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs to extract entities and relations, then populates an ontology‑style graph; details entity and relation extraction methods; describes graph integration; mentions prompting but lacks scalability, baseline evaluation, and error‑analysis details.",""
"Generating Knowledge Graphs from Large Language Models: A Comparative
  Study of GPT-4, LLaMA 2, and BERT","https://scispace.com/paper/generating-knowledge-graphs-from-large-language-models-a-58nnxvb3br3v","2024","Journal Article","","Ahan Bhatt
Nandan Vaghela
Kush Dudhia","10.48550/arxiv.2412.07412","https://scispace.compdf/generating-knowledge-graphs-from-large-language-models-a-58nnxvb3br3v.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑4, LLaMA 2, and BERT to extract entities and relations from text and directly populate a KG, detailing each pipeline step. Provides metrics and model comparisons, but limited to a small Wikipedia excerpt and lacks extensive scalability, zero‑shot prompting focus, or deep human‑in‑the‑loop analysis.","Knowledge Graphs (KGs) are essential for the functionality of GraphRAGs, a form of Retrieval-Augmented Generative Systems (RAGs) that excel in tasks requiring structured reasoning and semantic understanding. However, creating KGs for GraphRAGs remains a significant challenge due to accuracy and scalability limitations of traditional methods. This paper introduces a novel approach leveraging large language models (LLMs) like GPT-4, LLaMA 2 (13B), and BERT to generate KGs directly from unstructured data, bypassing traditional pipelines. Using metrics such as Precision, Recall, F1-Score, Graph Edit Distance, and Semantic Similarity, we evaluate the models' ability to generate high-quality KGs. Results demonstrate that GPT-4 achieves superior semantic fidelity and structural accuracy, LLaMA 2 excels in lightweight, domain-specific graphs, and BERT provides insights into challenges in entity-relationship modeling. This study underscores the potential of LLMs to streamline KG creation and enhance GraphRAG accessibility for real-world applications, while setting a foundation for future advancements. "
"SKG-LLM: Developing a Mathematical Model for Stroke Knowledge Graph Construction Using Large Language Models","https://scispace.com/paper/skg-llm-developing-a-mathematical-model-for-stroke-knowledge-b3d5opr09t7v","2025","Journal Article","arXiv.org","Ali Sarabadani
Kheirolah Rahsepar Fard
Hamid Dalvand","10.48550/arxiv.2503.06475","https://scispace.compdf/skg-llm-developing-a-mathematical-model-for-stroke-knowledge-b3d5opr09t7v.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑4 for automated entity and relation extraction, combines Bayesian networks and tensor decomposition to populate a stroke knowledge graph, forming an integrated LLM‑driven pipeline.",""
"An automatic and end-to-end system for rare disease knowledge graph construction based on ontology-enhanced large language models: development study","https://scispace.com/paper/5Oh1zkPx8qgJ","","","","L Cao
J Sun
A Cross","","","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑4 to automatically extract entities and relations from rare‑disease texts and populate an ontology‑enhanced KG; detailed pipeline but limited on prompting strategies, large‑scale testing, baseline comparisons, and error‑analysis.",""
"Automated Construction of Theme-specific Knowledge Graphs","https://scispace.com/paper/automated-construction-of-theme-specific-knowledge-graphs-467st5j7ga","2024","Preprint","","Linyi Ding
Saijun Zhou
Jinfeng Xiao
Junfeng Han","10.48550/arxiv.2404.19146","https://scispace.compdf/automated-construction-of-theme-specific-knowledge-graphs-467st5j7ga.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Integrates LLMs to generate theme ontology, extract and type entities, generate relations, and assemble a KG without supervision, matching core requirements; includes some prompting and baseline evaluation but limited scalability and no human‑in‑the‑loop analysis.","Despite widespread applications of knowledge graphs (KGs) in various tasks such as question answering and intelligent conversational systems, existing KGs face two major challenges: information granularity and deficiency in timeliness. These hinder considerably the retrieval and analysis of in-context, fine-grained, and up-to-date knowledge from KGs, particularly in highly specialized themes (e.g., specialized scientific research) and rapidly evolving contexts (e.g., breaking news or disaster tracking). To tackle such challenges, we propose a theme-specific knowledge graph (i.e., ThemeKG), a KG constructed from a theme-specific corpus, and design an unsupervised framework for ThemeKG construction (named TKGCon). The framework takes raw theme-specific corpus and generates a high-quality KG that includes salient entities and relations under the theme. Specifically, we start with an entity ontology of the theme from Wikipedia, based on which we then generate candidate relations by Large Language Models (LLMs) to construct a relation ontology. To parse the documents from the theme corpus, we first map the extracted entity pairs to the ontology and retrieve the candidate relations. Finally, we incorporate the context and ontology to consolidate the relations for entity pairs. We observe that directly prompting GPT-4 for theme-specific KG leads to inaccurate entities (such as ""two main types"" as one entity in the query result) and unclear (such as ""is"", ""has"") or wrong relations (such as ""have due to"", ""to start""). In contrast, by constructing the theme-specific KG step by step, our model outperforms GPT-4 and could consistently identify accurate entities and relations. Experimental results also show that our framework excels in evaluations compared with various KG construction baselines. "
"AutoRD: An Automatic and End-to-End System for Rare Disease Knowledge Graph Construction Based on Ontology-enhanced Large Language Models (Preprint)","https://scispace.com/paper/autord-an-automatic-and-end-to-end-system-for-rare-disease-5glf7co8fh","2024","Preprint","","Lu Cao
Jimeng Sun
Andy Cross","10.2196/preprints.60665","","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ontology‑enhanced LLMs for end‑to‑end entity/relation extraction and KG construction; detailed entity/relation metrics; limited discussion of schema alignment, prompting, scalability, and baseline comparisons.","<sec> <title>BACKGROUND</title> Rare diseases affect millions worldwide but often face limited research focus due to their low prevalence. This results in prolonged diagnoses and a lack of approved therapies. Recent advancements in Large Language Models (LLMs) have shown promise in automating the extraction of medical information, offering potential to improve rare disease diagnosis and management. </sec> <sec> <title>OBJECTIVE</title> Our objective is to create an end-to-end system called AutoRD, which automates extracting information from medical text about rare diseases. We conducted various experiments to evaluate the performance of AutoRD and highlighted its strengths and limitations in this paper. </sec> <sec> <title>METHODS</title> AutoRD is a pipeline system involving data preprocessing, entity extraction, relation extraction, entity calibration, and knowledge graph construction. We implement this using large language models and medical knowledge graphs developed from open-source medical ontologies. We quantitatively evaluate our system on entity extraction, relation extraction, and the performance of knowledge graph construction. </sec> <sec> <title>RESULTS</title> AutoRD achieves an average of entity F1 score and relation F1 score of 47.3%, a 14.4% improvement compared to the base LLM. In detail, AutoRD achieves an overall entity extraction F1 score of 56.1% (‘rare_disease’: 83.5%, disease: 35.8%, ‘symptom_and_sign’: 46.1%, anaphor: 67.5%) and an overall relation extraction F1 score of 38.6% (‘produces’: 34.7%, ‘increases_risk_of’: 12.4%, ‘is_a’: 37.4%, ‘is_acronym’: 44.1%, ‘is_synonym’: 16.3%, ‘anaphora’: 57.5%). The qualitative experiment also demonstrates that the constructed knowledge graph’s performance is respectable. </sec> <sec> <title>CONCLUSIONS</title> AutoRD is an automated end-to-end system for extracting rare disease information from text to build knowledge graphs. It uses ontology-enhanced LLMs for a robust medical knowledge base. The superior performance of AutoRD is validated by experimental evaluations, demonstrating the potential of LLMs in healthcare. </sec> <sec> <title>CLINICALTRIAL</title> <p/> </sec> "
"An accurate and efficient approach to knowledge extraction from scientific publications using structured ontology models, graph neural networks, and large …","https://scispace.com/paper/UeTyan-Ws-sJ","","","","TV Ivanisenko
PS Demenkov","","","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GPT‑4o for joint entity and relation extraction, then maps results onto structured ontology models and populates a graph via GNNs. Detailed entity/relation steps present, but no mention of zero‑shot prompting, large‑scale batching, baseline comparisons, or human‑in‑the‑loop error analysis.",""
