"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Schema Theory and Artificial Intelligence: A Systematic Review of Contemporary Research","https://scispace.com/paper/dzbpzc98IpcJ","","","","R Meylani","","https://www.researchgate.net/profile/Rusen-Meylani/publication/400442931_Schema_Theory_and_Artificial_Intelligence_A_Systematic_Review_of_Contemporary_Research/links/69835adcca66ef6ab990326b/Schema-Theory-and-Artificial-Intelligence-A-Systematic-Review-of-Contemporary-Research.pdf","… The rise of neural networks and deep learning marked a paradigmatic shift from explicitly structured knowledge representations to models that learn from distributed patterns in data. In …",""
"Deep Learning Models for the Extraction of Knowledge from Text","https://scispace.com/paper/4mRL_foUg98J","","","","C Theodoropoulos
MF Moens
M Blaschko","","https://lirias.kuleuven.be/retrieve/802125","… We examine how tokenization impacts IE from documents and … are created leveraging graph neural networks (GNNs) and … to the fundamentals of artificial neural networks. Popular …",""
"Semantic schema extraction in NoSQL databases using Bert Embeddings","https://scispace.com/paper/semantic-schema-extraction-in-nosql-databases-using-bert-6w6qmnzbascy","2024","Journal Article","Data Science Journal","Saad Belefqih
Ahmed Zellou
Mouna Berquedich","10.5334/dsj-2024-057","","… (Bidirectional Encoder Representations from Transformers), a … analyze triplets extracted from JSON documents in schema-less … new possibilities for automated schema extraction from …",""
"Automating Resume Analysis: Knowledge Graphs via Prompt Engineering","https://scispace.com/paper/automating-resume-analysis-knowledge-graphs-via-prompt-5lljroi8e04z","2024","Journal Article","Lecture Notes in Computer Science","Giorgio Lazzarinetti
Sara Manzoni
Italo Zoppis","10.1007/978-3-031-80607-0_17","","… This paper introduces a methodology employing Large Language Models (LLMs) facilitated by … This study not only underscores the potential of LLMs in automated information extraction …",""
"SCHEMA-MINER pro: Agentic AI for Ontology Grounding over LLM-Discovered Scientific Schemas in a Human-in-the-Loop Workflow","https://scispace.com/paper/w_d04zfEgv0J","","","","S Sadruddin
J D'Souza
E Poupaki","","https://www.semantic-web-journal.net/system/files/swj3983.pdf","… combines large language models for schema extraction with … continue to impede fully automated schema discovery or … schema extraction tasks, the inclusion of these documents …",""
"Completing the knowledge lifecycle for language models","https://scispace.com/paper/uVv1QtoL7-EJ","","","","Z Zhang","","https://www.ideals.illinois.edu/items/132643/bitstreams/439982/data.pdf","… For extracting structured knowledge from textual documents, … instance graphs needed for schema induction. To tackle these … the combination of automatic schema induction and manual …",""
"Hypothesis-Driven Semantic Retrieval for Discovering Unseen Knowledge Structures","https://scispace.com/paper/uSH_WsGigRIJ","","","","O Bennett
A Wright
J Holloway","","https://www.preprints.org/frontend/manuscript/2cd81bbb77de9b464c42db39c3fee012/download_pub","… relation types, yet even neural OpenIE systems primarily capture … Unsupervised schema induction research moves closer to … , while event-schema induction organizes events into graph…",""
"A Supervised Framework for Document Processing at Scale with Large Language Models in Credit-Risk Research","https://scispace.com/paper/H_5DUYJVmYIJ","","","","C COJOCARU
S IONESCU","","https://www.icmie.ro/index.php/icmie/article/download/196/70","… mitigate this limitation for partially automated extraction, but … Documents are processed independently and transformed … deterministic preprocessing with schema extraction defined and …",""
"Open-domain hierarchical event schema induction by incremental prompting and verification","https://scispace.com/paper/open-domain-hierarchical-event-schema-induction-by-2shc95lf","2023","Proceedings Article","Annual Meeting of the Association for Computational Linguistics","Sha Li
Rui Zhao
Manling Li
Heng Ji
Chris Callison-Burch
Jiawei Han","10.48550/arXiv.2307.01972","https://aclanthology.org/2023.acl-long.312.pdf","… For automatic evaluation of the schema quality against … pipelines to convert unstructured documents into event graphs, … be implicitly learned with large language models. However, since …","Event schemas are a form of world knowledge about the typical progression of events. Recent methods for event schema induction use information extraction systems to construct a large number of event graph instances from documents, and then learn to generalize the schema from such instances. In contrast, we propose to treat event schemas as a form of commonsense knowledge that can be derived from large language models (LLMs). This new paradigm greatly simplifies the schema induction process and allows us to handle both hierarchical relations and temporal relations between events in a straightforward way. Since event schemas have complex graph structures, we design an incremental prompting and verification method IncPrompt to break down the construction of a complex event graph into three stages: event skeleton construction, event expansion, and event-event relation verification. Compared to directly using LLMs to generate a linearized graph, IncSchema can generate large and complex schemas with 7.2% F1 improvement in temporal relations and 31.0% F1 improvement in hierarchical relations. In addition, compared to the previous state-of-the-art closed-domain schema induction model, human assessors were able to cover ~10% more events when translating the schemas into coherent stories and rated our schemas 1.3 points higher (on a 5-point scale) in terms of readability."
"Ontology-grounded automatic knowledge graph construction by llm under wikidata schema","https://scispace.com/paper/ontology-grounded-automatic-knowledge-graph-construction-by-7auwgev0uzgq","2024","Journal Article","","Xiaohan Feng
Xixin Wu
Helen Meng","10.48550/arxiv.2412.20942","https://arxiv.org/pdf/2412.20942?","… interest in using large language models for KG construction [… achieved on private documents with decent performance. … with no prior assumption on knowledge schema, we report our …","We propose an ontology-grounded approach to Knowledge Graph (KG) construction using Large Language Models (LLMs) on a knowledge base. An ontology is authored by generating Competency Questions (CQ) on knowledge base to discover knowledge scope, extracting relations from CQs, and attempt to replace equivalent relations by their counterpart in Wikidata. To ensure consistency and interpretability in the resulting KG, we ground generation of KG with the authored ontology based on extracted relations. Evaluation on benchmark datasets demonstrates competitive performance in knowledge graph construction task. Our work presents a promising direction for scalable KG construction pipeline with minimal human intervention, that yields high quality and human-interpretable KGs, which are interoperable with Wikidata semantics for potential knowledge base expansion. "
