"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Prompt-guided LLM agent for end-to-end ontology learning","https://scispace.com/paper/prompt-guided-llm-agent-for-end-to-end-ontology-learning-247zgprujwq4","2025","Journal Article","Ìnformacìjnì tehnologìï ta kompʼûterna ìnženerìâ","Yaroslav Teplyi
Dmytro Dosyn","10.31649/vitce/2.2025.35","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM prompts to auto‑generate and align ontologies, achieving high recall on benchmarks. Lacks a visual GUI for non‑technical users and user‑focused evaluations, and does not provide open‑source assets.","Abstract. Turning the vast knowledge of large language models (LLMs) into logical, machine-interpretable ontologies poses a difficult task. Conventional single-prompt strategies often generated ambiguous or mutually inconsistent triples could not be merged safely with reference knowledge bases. The present work therefore aimed to design and empirically verify an entirely automated workflow that converts raw text into schema–compliant RDF/OWL statements without manual intervention. The resulting agent combined four stages – schema discovery, instance extraction, self-repair validation, and ontology alignment – each expressed as structured prompts executed by an LLM. A validator inspected every candidate assertion against the extracted domain-range constraints; any violation triggered an iterative analyse- errors / fix-schema / fix-instances loop until consistency was reached. The workflow was instantiated with three families of LLMs – GPT-4.1-mini, LLaMA-3.3-70b, and Grok-3-mini – chosen to represent high-end proprietary, open-weights, and cost-efficient small models. Quality was measured on the synthetic Measure of Information in Nodes and Edges (MINE) benchmark and on two real scholarly texts: ten English CEUR-WS workshop volumes and ten Ukrainian issues of the Journal of Lviv Polytechnic National University “Information Systems and Networks”. On MINE the agent paired with LLaMA-3.3-70b achieved 67.5% fact recall, surpassing the KGGen pipeline (66.07%) while still enforcing schema coherence; GPT-4.1-mini and Grok-3-mini reached 59.8% and 52.4%, respectively. When applied to the bilingual texts, all models reproduced the canonical author–paper–journal relation, proposed up to 39 new classes and 29 new relations, and instantiated more than 800 individuals per dataset with only minor post-repair inconsistencies. Extracted labels remained in English even for Ukrainian inputs. While GPT-4.1-mini and LLaMA-3.3-70b generated broader and valid schema yet most of the schema remained uninitiated, when Grok-3-mini produced concise and fully populated schema with instances. The practical outcome is a pipeline that can be used on digital libraries or domain portals to expand existing knowledge graphs continuously and with minimal human effort, thereby lowering the cost for ontology maintenance and enrichment "
"Onto4AllEditor: um editor web gráfico para construção de ontologias por todos os tipos de usuários da informação","https://scispace.com/paper/onto4alleditor-um-editor-web-grafico-para-construcao-de-vbe03njugeli","2024","Repository","","Fabrício Martins Mendonça
Lucas Piazzi de Castro
Jairo Francisco de Souza
Maurício Barcellos Almeida
Eduardo Ribeiro Felipe","10.60692/pcs74-dbj55","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a web‑based, drag‑and‑drop ontology editor aimed at novices, fulfilling core ontology‑engineering functionality. Lacks LLM generation, AI‑pipeline integration, user studies, and open‑source details.","Ontologias são artefatos de representação do conhecimento utilizados no âmbito da Ciência da Informação, principalmente no campo da Organização do Conhecimento, bem como em áreas relacionadas. Mesmo que o tema já venha sendo disseminado há mais de duas décadas, a construção de ontologias ainda traz desafios para profissionais, pesquisadores e estudantes da Ciência da Informação. Tais desafios estão relacionados, principalmente, ao jargão lógicofilosófico necessário, a etapa formalização de conhecimento e a complexidade dos editores disponíveis, voltados para a computação. A presente pesquisa objetiva trazer uma alternativa a tais desafios. Apresenta-se aqui o Onto4AllEditor, um editor de ontologias gráfico, colaborativo e baseado na Web, que inclui recursos simples e intuitivos. Baseado na metodologia OntoForInfoScience, o editor foi planejado para facilitar o trabalho de usuários com níveis de experiência variados, objetivando popularizar a construção de ontologias. O artigo debate as limitações dos editores populares disponíveis e os compara ao que é oferecido pelo Onto4AllEditor. Conclui-se que o Onto4AllEditor, mesmo que já inclua recursos avançados, facilita a construção de ontologias, em particular, para aqueles usuários que estão iniciando nesse tipo de atividade. "
"Towards next-generation urban decision support systems through ai-powered generation of scientific ontology using large language models–a case in …","https://scispace.com/paper/TEsQYfz6GawJ","","","","J Tupayachi
H Xu
OA Omitaomu","","https://www.researchgate.net/profile/Haowen-Xu-3/publication/380974143_Towards_Next-Generation_Urban_Decision_Support_Systems_through_AI-Powered_Generation_of_Scientific_Ontology_using_Large_Language_Models_--_A_Case_in_Optimizing_Intermodal_Freight_Transportation/links/665e3745479366623a3dbe32/Towards-Next-Generation-Urban-Decision-Support-Systems-through-AI-Powered-Generation-of-Scientific-Ontology-using-Large-Language-Models--A-Case-in-Optimizing-Intermodal-Freight-Transportation.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLMs to auto‑generate scientific ontologies, integrates with Protégé and AI agents; lacks visual non‑technical editor and user studies; code availability unclear.",""
"Ontology-Driven LLM Assistance for Task-Oriented Systems Engineering.","https://scispace.com/paper/ontology-driven-llm-assistance-for-task-oriented-systems-7ldbwxdgekx6","","Proceedings Article","","Jean-Marie Gauthier
Eric Jenn
Ramon Conejo","10.5220/0013441100003896","https://www.scitepress.org/Papers/2025/134411/134411.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses LLM to generate ontology elements and provides a prototype tool for systems engineering, but lacks a visual non‑technical editor and extensive user evaluation; pipeline integration is only partially demonstrated.",""
"PLASMA: A Semantic Modeling Tool for Domain Experts","https://scispace.com/paper/plasma-a-semantic-modeling-tool-for-domain-experts-7u0n4xgl","2022","Proceedings Article","Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management","Alexander Paulus
Andreas Burgdorf
Tristan Langer
Andr Pomp
T. Meisen
Sebastian Pol","10.1145/3511808.3557184","https://scispace.com/pdf/plasma-a-semantic-modeling-tool-for-domain-experts-7u0n4xgl.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides drag‑and‑drop visual modeling for domain experts and RDF export, but lacks LLM generation, AI‑agent integration, user studies, and open‑source assets.","In recent years, Knowledge Graphs and Ontology-based Data Management have proven to be particularly effective in the efficient management and consolidation of heterogeneous data sources. In this context, semantic modeling has proven to be a useful approach for creating semantic data annotations. However, automatically generated semantic models usually need to be revised by a domain expert, who is often not familiar with semantic technologies. For addressing this issue, we propose the PLASMA semantic modeling tool, which aims at enabling domain experts to build semantic models from scratch or refine models created by automatic algorithms. We demonstrate the use of the tool and its user interface in two different semantic data management use cases for integrating smart city data in a public funded project, called City Dataspace, and for creating semantic models in an industrial use case at Siemens AG."
"OntoSeer -- A Recommendation System to Improve the Quality of Ontologies","https://scispace.com/paper/ontoseer-a-recommendation-system-to-improve-the-quality-of-2l2lzoh1","2022","Posted Content","","","10.48550/arxiv.2202.02125","https://scispace.com/pdf/ontoseer-a-recommendation-system-to-improve-the-quality-of-2l2lzoh1.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a Protégé plugin for ontology recommendations, includes a user study and public GitHub repo, but lacks LLM generation, visual non‑technical editor, and AI‑agent pipeline integration.","Building an ontology is not only a time-consuming process, but it is also confusing, especially for beginners and the inexperienced. Although ontology developers can take the help of domain experts in building an ontology, they are not readily available in several cases for a variety of reasons. Ontology developers have to grapple with several questions related to the choice of classes, properties, and the axioms that should be included. Apart from this, there are aspects such as modularity and reusability that should be taken care of. From among the thousands of publicly available ontologies and vocabularies in repositories such as Linked Open Vocabularies (LOV) and BioPortal, it is hard to know the terms (classes and properties) that can be reused in the development of an ontology. A similar problem exists in implementing the right set of ontology design patterns (ODPs) from among the several available. Generally, ontology developers make use of their experience in handling these issues, and the inexperienced ones have a hard time. In order to bridge this gap, we propose a tool named OntoSeer, that monitors the ontology development process and provides suggestions in real-time to improve the quality of the ontology under development. It can provide suggestions on the naming conventions to follow, vocabulary to reuse, ODPs to implement, and axioms to be added to the ontology. OntoSeer has been implemented as a Prot\'eg\'e plug-in. "
"Ontopanel: A Tool for Domain Experts Facilitating Visual Ontology Development and Mapping for FAIR Data Sharing in Materials Testing","https://scispace.com/paper/ontopanel-a-tool-for-domain-experts-facilitating-visual-18dpgaho","2022","Journal Article","Integrating materials and manufacturing innovation","Yue Chen
Markus Schilling
Philipp von Hartrott
Hossein Beygi Nasrabadi
Birgit Skrotzki
J. Olbricht","10.1007/s40192-022-00279-y","https://scispace.com/pdf/ontopanel-a-tool-for-domain-experts-facilitating-visual-18dpgaho.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a visual ontology development tool for materials testing, targeting domain experts, but lacks LLM generation, AI‑agent pipeline integration, user studies, and open‑source release.","Abstract In recent years, the design and development of materials are strongly interconnected with the development of digital technologies. In this respect, efficient data management is the building block of material digitization and, in the field of materials science and engineering (MSE), effective solutions for data standardization and sharing of different digital resources are needed. Therefore, ontologies are applied that represent a map of MSE concepts and relationships between them. Among different ontology development approaches, graphical editing based on standard conceptual modeling languages is increasingly used due to its intuitiveness and simplicity. This approach is also adopted by the Materials-open-Laboratory project (Mat-o-Lab), which aims to develop domain ontologies and method graphs in accordance with testing standards in the field of MSE. To suit the actual demands of domain experts in the project, Ontopanel was created as a plugin for the popular open-source graphical editor diagrams.net to enable graphical ontology editing. It includes a set of pipeline tools to foster ontology development in diagrams.net, comprising imports and reusage of ontologies, converting diagrams to Web Ontology Language (OWL), verifying diagrams using OWL rules, and mapping data. It reduces learning costs by eliminating the need for domain experts to switch between various tools. Brinell hardness testing is chosen in this study as a use case to demonstrate the utilization of Ontopanel . "
"An Ontology based Smart Management of Linguistic Knowledge","https://scispace.com/paper/an-ontology-based-smart-management-of-linguistic-knowledge-2meu96jh","2022","Journal Article","Journal of Data Mining and Digital Humanities","Mariem Neji
Fatma Ghorbel
Bilel Gargouri
Nada Mimouni
Elisabeth Métais","10.46298/jdmdh.9251","https://scispace.com/pdf/an-ontology-based-smart-management-of-linguistic-knowledge-2meu96jh.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides a multilingual ontology and user‑friendly visual tool, but lacks LLM generation, AI‑agent pipeline integration, user studies, and open‑source release.","Natural language processing provides a very significant contribution to various application areas such as multilingual big data, information retrieval, data integration and multilingual web. However, handling linguistic knowledge to develop such lingware applications is a crucial issue, especially for linguistic novice users. To deal with this issue, a ""smart"" linguistic knowledge management may help the users to understand the meaning, scope and especially the use of related techniques and algorithms. In this paper, (1) we propose a semantic processing of linguistic knowledge based on a multilingual linguistic domain ontology, called LingOnto. Compared to related work, LingOnto does not only handles linguistic data, but also linguistic processing functionalities and linguistic processing features. Besides, it allows, via a reasoning engine, inferring new linguistic knowledge and assisting in the process of proposing lingware applications. This is particularly useful for novice users, but can also provide new perspectives for the expert ones. LingOnto covers the French, English and Arabic languages. (2) We propose also an assisted user friendly ontology visualization tool called LingGraph. It facilitates the interaction with LingOnto. It offers an easy to use interface for users not familiar with ontologies. It is based on a SPARQL pattern-based approach to allow a smart search interaction functionality to visualize only the ontological view corresponding to the user’s needs and preferences. In order to evaluate LingOnto, we apply it to a framework of identifying valid natural language processing pipelines. Finally, we give the results of the carried-out experiments."
"Large Language Models as Booster in Pattern-Based Ontology Transformation","https://scispace.com/paper/large-language-models-as-booster-in-pattern-based-ontology-25m24f0u5ii7","2025","Journal Article","Lecture Notes in Computer Science","Peter Vajdečka
Peter Vajdečka
Peter Vajdečka","10.1007/978-3-031-99554-5_41","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly Relevant: Presents a prototype tool for pattern‑based ontology transformation. Highly Relevant: Uses LLMs to generate classes, relations, and axioms. Somewhat Relevant: Combines LLM‑boosted transformation but lacks visual editor, non‑technical UI, and pipeline export.",""
"Ontochat: a framework for conversational ontology engineering using language models","https://scispace.com/paper/ontochat-a-framework-for-conversational-ontology-engineering-2j2749l8hc","2024","Journal Article","arXiv.org","Bohui Zhang
Valentina Anita Carriero
Katrin Schreiberhuber
Stefani Stoynova Tsaneva
Luc'ia S'anchez Gonz'alez
Jongmo Kim
Jacopo de Berardinis","10.48550/arxiv.2403.05921","https://arxiv.org/pdf/2403.05921","- **Relevance Score:** 21/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses conversational LLM interface for ontology tasks; provides a usable tool and user study; code released publicly; lacks visual drag‑drop editor, full pipeline integration, and explicit LLM‑generated ontology elements.","Ontology engineering (OE) in large projects poses a number of challenges arising from the heterogeneous backgrounds of the various stakeholders, domain experts, and their complex interactions with ontology designers. This multi-party interaction often creates systematic ambiguities and biases from the elicitation of ontology requirements, which directly affect the design, evaluation and may jeopardise the target reuse. Meanwhile, current OE methodologies strongly rely on manual activities (e.g., interviews, discussion pages). After collecting evidence on the most crucial OE activities, we introduce OntoChat, a framework for conversational ontology engineering that supports requirement elicitation, analysis, and testing. By interacting with a conversational agent, users can steer the creation of user stories and the extraction of competency questions, while receiving computational support to analyse the overall requirements and test early versions of the resulting ontologies. We evaluate OntoChat by replicating the engineering of the Music Meta Ontology, and collecting preliminary metrics on the effectiveness of each component from users. We release all code at https://github.com/King-s-Knowledge-Graph-Lab/OntoChat."
