"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Integrated application of LLM model and knowledge graph in medical text mining and knowledge extraction","https://scispace.com/paper/integrated-application-of-llm-model-and-knowledge-graph-in-1v9jieqfjn4y","2024","Journal Article","Social Medicine and Health Management","J Yang","10.23977/socmhm.2024.050208","http://166.62.7.99/assets/default/article/2024/09/14/article_1726289646.pdf","… The combination of relation extraction and semantic … , the integration method of LLM and knowledge graph has shown … to realize the automatic construction of knowledge graph, real-…",": This article proposes an innovative comprehensive framework that deeply integrates Large Language Models (LLM) with Knowledge Graphs (KG) to meet the urgent need for high-quality professional knowledge in medical question answering systems. We have fully utilized the triplet data structure of the knowledge graph, which effectively enhances the professional knowledge foundation of LLM in the medical field and significantly enhances its explanatory power. By accurately aligning the output of LLM with relevant information in KG, this method achieves dual verification and enhancement of model output accuracy and consistency, greatly improving the security and reliability of medical question answering systems. The experimental results show that the method proposed in this article exhibits significant advantages in accuracy and reliability compared to traditional knowledge base question answering (KBQA) systems and single LLM methods. This achievement provides a more efficient and accurate solution for the field of medical knowledge services, and this study also demonstrates the enormous potential and prospects of integrating LLM and KG in medical text mining and knowledge extraction."
"An ontology-guided, language model-assisted approach for theme-specific information extraction","https://scispace.com/paper/DRgvHqjnwP0J","","","","J Xiao","","https://www.ideals.illinois.edu/items/136491/bitstreams/446077/data.pdf","… Our ontology-guided, LLM-assisted approach to automatic IE features the systematic … our ontology-guided RAG technique in Chapter 4 and our solution to open relation extraction in …",""
"Research trends for the interplay between large language models and knowledge graphs","https://scispace.com/paper/research-trends-for-the-interplay-between-large-language-266l5zilo7","2024","Preprint","","Hanieh Khorashadizadeh
Fatima Amara
Morteza Kamaladdini Ezzabady
Frédéric Ieng
Sanju Tiwari
Nandana Mihindukulasooriya
Jinghua Groppe
Soror Sahri
Farah Benamara
Sven Groppe","10.48550/arxiv.2406.08223","https://arxiv.org/pdf/2406.08223?","… Concept and Relation Extraction: LLMs like GPT-3, with their nat… with automated scores, thereby reducing annotation times. … a knowledge graph that has been constructed by the LLM …","This survey investigates the synergistic relationship between Large Language Models (LLMs) and Knowledge Graphs (KGs), which is crucial for advancing AI's capabilities in understanding, reasoning, and language processing. It aims to address gaps in current research by exploring areas such as KG Question Answering, ontology generation, KG validation, and the enhancement of KG accuracy and consistency through LLMs. The paper further examines the roles of LLMs in generating descriptive texts and natural language queries for KGs. Through a structured analysis that includes categorizing LLM-KG interactions, examining methodologies, and investigating collaborative uses and potential biases, this study seeks to provide new insights into the combined potential of LLMs and KGs. It highlights the importance of their interaction for improving AI applications and outlines future research directions. "
"Large Language Model-Driven Approach for Automated Competency Knowledge Graph Construction in IT Domain","https://scispace.com/paper/large-language-model-driven-approach-for-automated-50o9skqkxo8e","2025","Journal Article","Communications in computer and information science","Duy Dinh
Han Duong
Thu Hoai Nguyen","10.1007/978-3-032-10209-6_13","","… First, we propose an automated KG construction pipeline that leverages LLMs to process … to improve LLM performance in the NER task, enabling more accurate entity recognition. Third, …",""
"Document-level clinical entity and relation extraction via knowledge base-guided generation","https://scispace.com/paper/document-level-clinical-entity-and-relation-extraction-via-3gjz5rbqvw","2024","Journal Article","","Kriti Bhattarai
Inez Y. Oh
Zachary B. Abrams
Albert M. Lai","10.48550/arxiv.2407.10021","https://aclanthology.org/2024.bionlp-1.24.pdf","… System (UMLS) knowledge base to accurately identify medical … Overall, we find that integrating UMLS concepts with GPT … the contextual understanding capability of GPT, our method …","Generative pre-trained transformer (GPT) models have shown promise in clinical entity and relation extraction tasks because of their precise extraction and contextual understanding capability. In this work, we further leverage the Unified Medical Language System (UMLS) knowledge base to accurately identify medical concepts and improve clinical entity and relation extraction at the document level. Our framework selects UMLS concepts relevant to the text and combines them with prompts to guide language models in extracting entities. Our experiments demonstrate that this initial concept mapping and the inclusion of these mapped concepts in the prompts improves extraction results compared to few-shot extraction tasks on generic language models that do not leverage UMLS. Further, our results show that this approach is more effective than the standard Retrieval Augmented Generation (RAG) technique, where retrieved data is compared with prompt embeddings to generate results. Overall, we find that integrating UMLS concepts with GPT models significantly improves entity and relation identification, outperforming the baseline and RAG models. By combining the precise concept mapping capability of knowledge-based approaches like UMLS with the contextual understanding capability of GPT, our method highlights the potential of these approaches in specialized domains like healthcare. "
"Ontology Matching with Knowledge Retrieval and Efficient Large Language Models","https://scispace.com/paper/Y7tmmDE3VoQJ","","","","L Nguyen","","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=case1751987504689716&disposition=inline","… deep-learning and LLM-based approaches to entity recognition in ontology learning. A detailed … Relation Extraction (RE) is an automatic method to learn these connections and is a key …",""
"Comparison of biomedical relationship extraction methods and models for knowledge graph creation","https://scispace.com/paper/comparison-of-biomedical-relationship-extraction-methods-and-2l3zpmrl","2022","Journal Article","Journal of Web Semantics","Nikola Milošević
Wolfgang Thielemann","10.1016/j.websem.2022.100756","https://arxiv.org/pdf/2201.01647","… However, in order to build a knowledge graph, it is … ) methods for scalable relationship extraction from biomedical … Our experiments show that transformer-based models handle well …",""
"Information extraction from texts based on ontology and large language models","https://scispace.com/paper/information-extraction-from-texts-based-on-ontology-and-6g2svbg9nkfz","2025","Journal Article","Ontologiâ proektirovaniâ","Elena Sidorova
A.I. Ivanov
Kristina Ovchinnikova","10.18287/2223-9537-2025-15-1-114-129","","… relation extraction also include the automated generation of natural language competency assessment questions for each ontology … ВОК проводилась с помощью модели GPT‑4. Для …","The article examines the extraction of information from texts using the ontology of a subject area combined with neu-ral network-based text analysis methods, including the use of large language models. It discusses the expert's role in developing and maintaining systems, illustrated through the task of extracting information from analytical articles and constructing ontologies in computational linguistics to represent key concepts relevant to the system's user or customer. The process of ontology creation is accompanied by the development of a dictionary that forms the ontology's termi-nological core, followed by methods for extracting new terms within the specified subject area. This task is considered as a named entity recognition problem, traditionally addressed by training a neural network model on a representative dataset. The study compares this approach with a methodology leveraging large language models. For this, lexical and syntactic patterns, as well as instruction patterns for hypothesis testing regarding new term-phrases and result verifica-tion, were developed. The developed instructions for solving the problem of relation extraction also include the auto-mated generation of natural language competency assessment questions for each ontology relation. The novelty of the proposed approach lies in the integration of ontological, linguistic and neural network approaches to extract infor-mation from texts. The study demonstrates the possibility of solving tasks of text analysis and information extraction problems through a chain of large language models, with dynamically generated instructions based on the outcomes of prior analysis stages. The following F1-measure scores were achieved in the experiments: F1=0.8 for term extraction and classification and F1=0.87 for relation extraction. "
"LiteKG: A Lightweight LLM-Assisted Framework for Domain-Specific Knowledge Graph Construction","https://scispace.com/paper/pUZfvbPWdNoJ","","","","YM Ho
WP Ku
PY Hou","","","… tuned NER model identifies entities, which are linked to external knowledge bases (eg, Wikidata [2]) for disambiguation, while the LLM performs ontology-constrained relation extraction. …",""
"Knowledge graph-enhanced large language model for domain-specific question answering systems","https://scispace.com/paper/knowledge-graph-enhanced-large-language-model-for-domain-eonizx6tjvst","","","","Donghe Li
Zuchen Li
Ye Yang
Li Sun
Dou An
Qingyu Yang","10.36227/techrxiv.172963127.77889256/v1","https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.172963127.77889256","… We utilized GPT4’s API for entity extraction. To avoid redundancy due to synonymy or … For this, we utilize Google’s automatic speech recognition system for ASR and the WaveNet: A …",""
