"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"AI Agent-Driven Framework for Automated Product Knowledge Graph Construction in E-Commerce","https://scispace.com/paper/ai-agent-driven-framework-for-automated-product-knowledge-bvp49ew2ujpv","2025","Repository","","Stojanov, Riste
Trajanov, Dimitar","10.5281/zenodo.16912163","https://arxiv.org/pdf/2511.11017","… question-based ontology generation and LLM-driven … Prompt learning plays a key role in cross-domain KG tasks and … We provide the complete ontology as input, prompting the LLM to …","&lt;p&gt;The rapid expansion of e-commerce platforms generates vast&nbsp;amounts of unstructured product data, creating significant challenges&nbsp;for information retrieval, recommendation systems, and data analytics.&nbsp;Knowledge Graphs (KGs) offer a structured, interpretable format to organize such data, yet constructing product-specific KGs remains a complex and manual process. This paper introduces a fully automated, AI&nbsp;agent-driven framework for constructing product knowledge graphs directly from unstructured product descriptions. Leveraging Large Language Models (LLMs), our method operates in three stages using dedicated agents: ontology creation and expansion, ontology refinement, and&nbsp;knowledge graph population. This agent-based approach ensures semantic coherence, scalability, and high-quality output with out relying on predefined schemas or handcrafted extraction rules. We evaluate the system&nbsp;on a real-world dataset of air conditioner product descriptions, demonstrating strong performance in both ontology generation and KG population. The framework achieves over 97% property coverage and minimal&nbsp;redundancy, validating its effectiveness and practical applicability. Our&nbsp;work highlights the potential of LLMs to automate structured knowledge&nbsp;extraction in retail, providing a scalable path toward intelligent product&nbsp;data integration and utilization.&lt;/p&gt; "
"An LLM and Embeddings-Based Multi-agentic System for Knowledge Graph Construction and Verification","https://scispace.com/paper/Z97M2yD9UQ8J","","","","MM Hedblom","","https://www.researchgate.net/profile/Maria-M-Hedblom/publication/398694134_An_LLM_and_Embeddings-Based_Multi-agentic_System_for_Knowledge_Graph_Construction_and_Verification/links/6995cccdca66ef6ab993a672/An-LLM-and-Embeddings-Based-Multi-agentic-System-for-Knowledge-Graph-Construction-and-Verification.pdf","… to knowledge graph construction offers a domain-independent … of LLM with the accuracy and verification of embeddings and commonsense reasoners offers the automatic construction …",""
"An LLM and Embeddings-Based Multi-agentic System for Knowledge Graph Construction and Verification","https://scispace.com/paper/S4U7NqmRnWAJ","","","","MR Martínez Rodríguez
A Nouri
Z Fei","","","… to knowledge graph construction offers a domain-independent … of LLM with the accuracy and verification of embeddings and commonsense reasoners offers the automatic construction …",""
"Automated data science project knowledge graph construction using a document retrieval augmented generation pipeline","https://scispace.com/paper/automated-data-science-project-knowledge-graph-construction-xwj6sswu5ffe","2025","Journal Article","","Aritha Kumarasinghe
Mārīte Kirikova","10.2139/ssrn.5198936","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5198936","… of pre-trained LLMs like BERT for these tasks. Another survey [4] … knowledge graph (KG) construction by conducting a literature review. This review examines studies that propose LLM…",""
"Knowledge graph-driven question answering for prefabricated building quality management through natural language processing and transfer learning","https://scispace.com/paper/knowledge-graph-driven-question-answering-for-prefabricated-28k9jkq3j9eg","2025","Journal Article","Engineering, Construction and Architectural Management","Gaotong Chen
Xiaer Xiahou
Jue Li
Long Chen
Yang Zou
Shenghua Zhou","10.1108/ecam-02-2025-0298","","… First, a fine-tuned BERT model is employed to perform shallow … Finally, this method enables the automatic generation of … this KGQA method to cross-domain engineering applications. …",""
"Ontology-free general-domain knowledge graph-to-text generation dataset synthesis using large language model","https://scispace.com/paper/ontology-free-general-domain-knowledge-graph-to-text-3zr3wwakdbub","2024","Journal Article","","Dae‐Hee Kim
Deokhyung Kang
Sangwon Ryu
Gary Geunbae Lee","10.48550/arxiv.2409.07088","https://arxiv.org/pdf/2409.07088","… To address the issue of graph-text misalignment commonly found in ontology-based datasets, we propose a novel method leveraging LLM and Data-QuestEval to generate high-quality …","Knowledge Graph-to-Text (G2T) generation involves verbalizing structured knowledge graphs into natural language text. Recent advancements in Pretrained Language Models (PLMs) have improved G2T performance, but their effectiveness depends on datasets with precise graph-text alignment. However, the scarcity of high-quality, general-domain G2T generation datasets restricts progress in the general-domain G2T generation research. To address this issue, we introduce Wikipedia Ontology-Free Graph-text dataset (WikiOFGraph), a new large-scale G2T dataset generated using a novel method that leverages Large Language Model (LLM) and Data-QuestEval. Our new dataset, which contains 5.85M general-domain graph-text pairs, offers high graph-text consistency without relying on external ontologies. Experimental results demonstrate that PLM fine-tuned on WikiOFGraph outperforms those trained on other datasets across various evaluation metrics. Our method proves to be a scalable and effective solution for generating high-quality G2T data, significantly advancing the field of G2T generation. "
"Docs2KG: A Human-LLM Collaborative Approach to Unified Knowledge Graph Construction from Heterogeneous Documents","https://scispace.com/paper/docs2kg-a-human-llm-collaborative-approach-to-unified-b5zk719f15b8","2025","Book","","Qiang Sun
Wenxiao Zhang
Jichunyang Li
Kai Niu
Wei Liu","10.1145/3701716.3715309","https://dl.acm.org/doi/pdf/10.1145/3701716.3715309","… development, which required extensive cross-domain expert com… with LLM verification ensuring domain-appropriate extractions, and (3) LLM-assisted dynamic ontology generation from …",""
"LLM-Driven Framework for Knowledge Graph Construction, Completion, and Alignment","https://scispace.com/paper/IFYd7rd3ZeUJ","","","","W Tang
X Mao
K Lv
M Liu","","","… set of domain knowledge graph construction technologies based … : knowledge graph generation and knowledge graph … We sampled explicit cross-domain relationships (eg, connecting …",""
"itext2kg: Incremental knowledge graphs construction using large language models","https://scispace.com/paper/itext2kg-incremental-knowledge-graphs-construction-using-1iu5sla0ubgm","2024","Journal Article","","Yassir Lairgi
Ludovic Moncla
Rémy Cazabet
Khalid Benabdeslem
Pierre Cléau","10.48550/arxiv.2409.03284","https://arxiv.org/pdf/2409.03284?","… It is important to note that the schema is not an ontology but a blueprint that biases the LLM … Enhancing domain-independent knowledge graph construction through OpenIE cleaning …","Most available data is unstructured, making it challenging to access valuable information. Automatically building Knowledge Graphs (KGs) is crucial for structuring data and making it accessible, allowing users to search for information effectively. KGs also facilitate insights, inference, and reasoning. Traditional NLP methods, such as named entity recognition and relation extraction, are key in information retrieval but face limitations, including the use of predefined entity types and the need for supervised learning. Current research leverages large language models' capabilities, such as zero- or few-shot learning. However, unresolved and semantically duplicated entities and relations still pose challenges, leading to inconsistent graphs and requiring extensive post-processing. Additionally, most approaches are topic-dependent. In this paper, we propose iText2KG, a method for incremental, topic-independent KG construction without post-processing. This plug-and-play, zero-shot method is applicable across a wide range of KG construction scenarios and comprises four modules: Document Distiller, Incremental Entity Extractor, Incremental Relation Extractor, and Graph Integrator and Visualization. Our method demonstrates superior performance compared to baseline methods across three scenarios: converting scientific papers to graphs, websites to graphs, and CVs to graphs. "
"EOAC-LLM: An LLM-Driven Event Ontology Automatic Construction System","https://scispace.com/paper/ittEUyLgxvYJ","","","","Z Lu
J Yang
C Guo
C Zhang
Y Li","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5775146","… ability of LLMs in cross-domain event ontology construction to … event ontology schema construction by means of iterating LLM … ontology support for more dynamic knowledge scenarios. …",""
