"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Deriving Ontologies from XML Schema","https://scispace.com/paper/http://arxiv.org/abs/1001.4901v1","2010","Preprint","","Ivan Bedini
Georges Gardarin
Benjamin Nguyen","","https://arxiv.org/pdf/1001.4901v1","In this paper, we present a method and a tool for deriving a skeleton of an ontology from XML schema files. We first recall what an is ontology and its relationships with XML schemas. Next, we focus on ontology building methodology and associated tool requirements. Then, we introduce Janus, a tool for building an ontology from various XML schemas in a given domain. We summarize the main features of Janus and illustrate its functionalities through a simple example. Finally, we compare our approach to other existing ontology building tools."
"A Framework for Business Intelligence Application using Ontological Classification","https://scispace.com/paper/http://arxiv.org/abs/1109.1088v1","2011","Preprint","","A. Martin
D. Maladhy
V. Prasanna Venkatesan","","https://arxiv.org/pdf/1109.1088v1","Every business needs knowledge about their competitors to survive better. One of the information repositories is web. Retrieving Specific information from the web is challenging. An Ontological model is developed to capture specific information by using web semantics. From the Ontology model, the relations between the data are mined using decision tree. From all these a new framework is developed for Business Intelligence."
"A Planning Ontology to Represent and Exploit Planning Knowledge for Performance Efficiency","https://scispace.com/paper/http://arxiv.org/abs/2307.13549v2","2023","Preprint","","Bharath Muppasani
Vishal Pallagani
Biplav Srivastava
Raghava Mutharaju
Michael N. Huhns
Vignesh Narayanan","","https://arxiv.org/pdf/2307.13549v2","Ontologies are known for their ability to organize rich metadata, support the identification of novel insights via semantic queries, and promote reuse. In this paper, we consider the problem of automated planning, where the objective is to find a sequence of actions that will move an agent from an initial state of the world to a desired goal state. We hypothesize that given a large number of available planners and diverse planning domains; they carry essential information that can be leveraged to identify suitable planners and improve their performance for a domain. We use data on planning domains and planners from the International Planning Competition (IPC) to construct a planning ontology and demonstrate via experiments in two use cases that the ontology can lead to the selection of promising planners and improving their performance using macros - a form of action ordering constraints extracted from planning ontology. We also make the planning ontology and associated resources available to the community to promote further research."
"Attribute oriented induction with star schema","https://scispace.com/paper/http://arxiv.org/abs/1005.5432v1","2010","Preprint","","Spits Warnars H. L. H","10.5121/ijdms.2010.2202","https://arxiv.org/pdf/1005.5432v1","This paper will propose a novel star schema attribute induction as a new attribute induction paradigm and as improving from current attribute oriented induction. A novel star schema attribute induction will be examined with current attribute oriented induction based on characteristic rule and using non rule based concept hierarchy by implementing both of approaches. In novel star schema attribute induction some improvements have been implemented like elimination threshold number as maximum tuples control for generalization result, there is no ANY as the most general concept, replacement the role concept hierarchy with concept tree, simplification for the generalization strategy steps and elimination attribute oriented induction algorithm. Novel star schema attribute induction is more powerful than the current attribute oriented induction since can produce small number final generalization tuples and there is no ANY in the results."
"A Modular Ontology for MODS -- Metadata Object Description Schema","https://scispace.com/paper/http://arxiv.org/abs/2308.00116v1","2023","Preprint","","Rushrukh Rayan
Cogan Shimizu
Heidi Sieverding
Pascal Hitzler","","https://arxiv.org/pdf/2308.00116v1","The Metadata Object Description Schema (MODS) was developed to describe bibliographic concepts and metadata and is maintained by the Library of Congress. Its authoritative version is given as an XML schema based on an XML mindset which means that it has significant limitations for use in a knowledge graphs context. We have therefore developed the Modular MODS Ontology (MMODS-O) which incorporates all elements and attributes of the MODS XML schema. In designing the ontology, we adopt the recent Modular Ontology Design Methodology (MOMo) with the intention to strike a balance between modularity and quality ontology design on the one hand, and conservative backward compatibility with MODS on the other."
"The propagation of a cultural or biological trait by neutral genetic drift in a subdivided population","https://scispace.com/paper/http://arxiv.org/abs/q-bio/0606037v2","2006","Preprint","","R A Blythe","10.1016/j.tpb.2007.01.006","https://arxiv.org/pdf/q-bio/0606037v2","We study fixation probabilities and times as a consequence of neutral genetic drift in subdivided populations, motivated by a model of the cultural evolutionary process of language change that is described by the same mathematics as the biological process. We focus on the growth of fixation times with the number of subpopulations, and variation of fixation probabilities and times with initial distributions of mutants. A general formula for the fixation probability for arbitrary initial condition is derived by extending a duality relation between forwards- and backwards-time properties of the model from a panmictic to a subdivided population. From this we obtain new formulae, formally exact in the limit of extremely weak migration, for the mean fixation time from an arbitrary initial condition for Wright's island model, presenting two cases as examples. For more general models of population subdivision, formulae are introduced for an arbitrary number of mutants that are randomly located, and a single mutant whose position is known. These formulae contain parameters that typically have to be obtained numerically, a procedure we follow for two contrasting clustered models. These data suggest that variation of fixation time with the initial condition is slight, but depends strongly on the nature of subdivision. In particular, we demonstrate conditions under which the fixation time remains finite even in the limit of an infinite number of demes. In many cases - except this last where fixation in a finite time is seen - the time to fixation is shown to be in precise agreement with predictions from formulae for the asymptotic effective population size."
"The Music Note Ontology","https://scispace.com/paper/http://arxiv.org/abs/2304.00986v1","2023","Preprint","","Andrea Poltronieri
Aldo Gangemi","","https://arxiv.org/pdf/2304.00986v1","In this paper we propose the Music Note Ontology, an ontology for modelling music notes and their realisation. The ontology addresses the relation between a note represented in a symbolic representation system, and its realisation, i.e. a musical performance. This work therefore aims to solve the modelling and representation issues that arise when analysing the relationships between abstract symbolic features and the corresponding physical features of an audio signal. The ontology is composed of three different Ontology Design Patterns (ODP), which model the structure of the score (Score Part Pattern), the note in the symbolic notation (Music Note Pattern) and its realisation (Musical Object Pattern)."
"Robust subgroup discovery","https://scispace.com/paper/http://arxiv.org/abs/2103.13686v4","2021","Preprint","","Hugo Manuel Proença
Peter Grünwald
Thomas Bäck
Matthijs van Leeuwen","10.1007/s10618-022-00856-x","https://arxiv.org/pdf/2103.13686v4","We introduce the problem of robust subgroup discovery, i.e., finding a set of interpretable descriptions of subsets that 1) stand out with respect to one or more target attributes, 2) are statistically robust, and 3) non-redundant. Many attempts have been made to mine either locally robust subgroups or to tackle the pattern explosion, but we are the first to address both challenges at the same time from a global modelling perspective. First, we formulate the broad model class of subgroup lists, i.e., ordered sets of subgroups, for univariate and multivariate targets that can consist of nominal or numeric variables, including traditional top-1 subgroup discovery in its definition. This novel model class allows us to formalise the problem of optimal robust subgroup discovery using the Minimum Description Length (MDL) principle, where we resort to optimal Normalised Maximum Likelihood and Bayesian encodings for nominal and numeric targets, respectively. Second, finding optimal subgroup lists is NP-hard. Therefore, we propose SSD++, a greedy heuristic that finds good subgroup lists and guarantees that the most significant subgroup found according to the MDL criterion is added in each iteration. In fact, the greedy gain is shown to be equivalent to a Bayesian one-sample proportion, multinomial, or t-test between the subgroup and dataset marginal target distributions plus a multiple hypothesis testing penalty. Furthermore, we empirically show on 54 datasets that SSD++ outperforms previous subgroup discovery methods in terms of quality, generalisation on unseen data, and subgroup list size."
"Insights from an OTTR-centric Ontology Engineering Methodology","https://scispace.com/paper/http://arxiv.org/abs/2309.13130v1","2023","Preprint","","Moritz Blum
Basil Ell
Philipp Cimiano","","https://arxiv.org/pdf/2309.13130v1","OTTR is a language for representing ontology modeling patterns, which enables to build ontologies or knowledge bases by instantiating templates. Thereby, particularities of the ontological representation language are hidden from the domain experts, and it enables ontology engineers to, to some extent, separate the processes of deciding about what information to model from deciding about how to model the information, e.g., which design patterns to use. Certain decisions can thus be postponed for the benefit of focusing on one of these processes. To date, only few works on ontology engineering where ontology templates are applied are described in the literature.
  In this paper, we outline our methodology and report findings from our ontology engineering activities in the domain of Material Science. In these activities, OTTR templates play a key role. Our ontology engineering process is bottom-up, as we begin modeling activities from existing data that is then, via templates, fed into a knowledge graph, and it is top-down, as we first focus on which data to model and postpone the decision of how to model the data.
  We find, among other things, that OTTR templates are especially useful as a means of communication with domain experts. Furthermore, we find that because OTTR templates encapsulate modeling decisions, the engineering process becomes flexible, meaning that design decisions can be changed at little cost."
"CEO: Corpus-based Open-Domain Event Ontology Induction","https://scispace.com/paper/http://arxiv.org/abs/2305.13521v2","2023","Preprint","","Nan Xu
Hongming Zhang
Jianshu Chen","","https://arxiv.org/pdf/2305.13521v2","Existing event-centric NLP models often only apply to the pre-defined ontology, which significantly restricts their generalization capabilities. This paper presents CEO, a novel Corpus-based Event Ontology induction model to relax the restriction imposed by pre-defined event ontologies. Without direct supervision, CEO leverages distant supervision from available summary datasets to detect corpus-wise salient events and exploits external event knowledge to force events within a short distance to have close embeddings. Experiments on three popular event datasets show that the schema induced by CEO has better coverage and higher accuracy than previous methods. Moreover, CEO is the first event ontology induction model that can induce a hierarchical event ontology with meaningful names on eleven open-domain corpora, making the induced schema more trustworthy and easier to be further curated."
